season,game_type,team_id,team_abbrev,zone,goals,sog,sh_pct
2026,2,55,SEA,Outside L,6,109,0.055
2026,2,55,SEA,Outside R,7,121,0.0579
2026,2,55,SEA,R Circle,27,238,0.1134
2026,2,55,SEA,R Corner,1,6,0.1667
2026,2,55,SEA,R Net Side,4,67,0.0597
2026,2,55,SEA,R Point,8,172,0.0465
2026,2,10,TOR,Behind the Net,0,10,0
2026,2,10,TOR,Beyond Red Line,4,82,0.0488
2026,2,10,TOR,Center Point,5,146,0.0342
2026,2,10,TOR,Crease,18,76,0.2368
2026,2,10,TOR,High Slot,39,224,0.1741
2026,2,10,TOR,L Circle,28,228,0.1228
2026,2,10,TOR,L Corner,0,1,0
2026,2,10,TOR,L Net Side,2,56,0.0357
2026,2,10,TOR,L Point,7,149,0.047
2026,2,10,TOR,Low Slot,112,559,0.2004
2026,2,10,TOR,Offensive Neutral Zone,3,64,0.0469
2026,2,10,TOR,Outside L,8,131,0.0611
2026,2,10,TOR,Outside R,4,88,0.0455
2026,2,10,TOR,R Circle,18,170,0.1059
2026,2,10,TOR,R Corner,0,2,0
2026,2,10,TOR,R Net Side,4,50,0.08
2026,2,10,TOR,R Point,0,123,0
2026,2,3,NYR,Behind the Net,3,9,0.3333
2026,2,3,NYR,Beyond Red Line,5,72,0.0694
2026,2,3,NYR,Center Point,14,182,0.0769
2026,2,3,NYR,Crease,19,66,0.2879
2026,2,3,NYR,High Slot,30,194,0.1546
2026,2,3,NYR,L Circle,18,178,0.1011
2026,2,3,NYR,L Corner,0,3,0
2026,2,3,NYR,L Net Side,5,53,0.0943
2026,2,3,NYR,L Point,6,146,0.0411
2026,2,3,NYR,Low Slot,97,518,0.1873
2026,2,3,NYR,Offensive Neutral Zone,1,37,0.027
2026,2,3,NYR,Outside L,4,103,0.0388
2026,2,3,NYR,Outside R,3,122,0.0246
2026,2,3,NYR,R Circle,20,188,0.1064
2026,2,3,NYR,R Corner,0,4,0
2026,2,3,NYR,R Net Side,5,44,0.1136
2026,2,3,NYR,R Point,5,147,0.034
2026,2,16,CHI,Behind the Net,0,8,0
2026,2,16,CHI,Beyond Red Line,3,65,0.0462
2026,2,16,CHI,Center Point,1,122,0.0082
2026,2,16,CHI,Crease,23,75,0.3067
2026,2,16,CHI,High Slot,31,203,0.1527
2026,2,16,CHI,L Circle,16,187,0.0856
2026,2,16,CHI,L Corner,0,0,0
2026,2,16,CHI,L Net Side,3,31,0.0968
2026,2,16,CHI,L Point,2,150,0.0133
2026,2,16,CHI,Low Slot,99,462,0.2143
2026,2,16,CHI,Offensive Neutral Zone,0,37,0
2026,2,16,CHI,Outside L,7,111,0.0631
2026,2,16,CHI,Outside R,6,132,0.0455
2026,2,16,CHI,R Circle,13,224,0.058
2026,2,16,CHI,R Corner,0,3,0
2026,2,16,CHI,R Net Side,3,44,0.0682
2026,2,16,CHI,R Point,3,162,0.0185
2026,2,23,VAN,Behind the Net,0,24,0
2026,2,23,VAN,Beyond Red Line,7,62,0.1129
2026,2,23,VAN,Center Point,4,179,0.0223
2026,2,23,VAN,Crease,15,99,0.1515
2026,2,23,VAN,High Slot,24,193,0.1244
2026,2,23,VAN,L Circle,18,214,0.0841
2026,2,23,VAN,L Corner,0,5,0
2026,2,23,VAN,L Net Side,5,43,0.1163
2026,2,23,VAN,L Point,2,138,0.0145
2026,2,23,VAN,Low Slot,103,510,0.202
2026,2,23,VAN,Offensive Neutral Zone,1,53,0.0189
2026,2,23,VAN,Outside L,2,127,0.0157
2026,2,23,VAN,Outside R,4,96,0.0417
2026,2,23,VAN,R Circle,20,206,0.0971
2026,2,23,VAN,R Corner,0,3,0
2026,2,23,VAN,R Net Side,4,37,0.1081
2026,2,23,VAN,R Point,1,140,0.0071
